gene,log2FoldChange,pval,padj,-log10(padj)
ENSG00000088325,1.7835248816520235,7.943391286108365e-40,1.0581731963280072e-37,36.97544324340335
ENSG00000286522,2.4598390584777836,8.655823889438638e-40,1.1133180381933145e-37,36.9533807543517
ENSG00000184357,2.350155227408664,4.7198241504530374e-39,5.868314693729943e-37,36.23148660476642
ENSG00000185130,1.9788586113511046,1.0164822907249476e-38,1.223057724001308e-36,35.9125530453156
ENSG00000183598,1.2815464669207999,1.38234264489094e-38,1.6112931454510017e-36,35.79282544041873
ENSG00000186185,1.979507934272523,1.6390449945744771e-38,1.8526175241705454e-36,35.732214232212435
ENSG00000092853,1.5682451462088476,3.209441607870582e-38,3.5209462345168444e-36,35.45334060663414
ENSG00000278588,1.8553706540491073,3.384117901232994e-38,3.606502791885448e-36,35.44291372727539
ENSG00000237649,1.969531923805433,5.339706679875319e-38,5.5325294210930385e-36,35.25707626788704
ENSG00000169679,1.8642830760165956,2.1412289705439162e-37,2.1585902865212993e-35,34.66582978156043
ENSG00000165304,1.5825317782774886,2.5021822486700074e-37,2.4560894177734545e-35,34.60975582607375
ENSG00000135476,1.710999563121721,3.249874637904712e-37,3.108213435739635e-35,34.50748916658241
ENSG00000109805,1.9429005569723456,4.744991489895217e-37,4.42470456432729e-35,34.35411572165899
ENSG00000158406,1.1589132884760225,9.462574413256667e-37,8.608634771084724e-35,34.06506571711735
ENSG00000143476,1.7278546728715083,1.3669279257427739e-36,1.2139621816715587e-34,33.91579484254181
ENSG00000233822,1.156035300854618,1.5349237235542687e-36,1.3314570904319586e-34,33.87567282523624
ENSG00000075218,1.7100683979233433,2.142429575076093e-36,1.8161959806895061e-34,33.740837289768855
ENSG00000131747,1.8489161488815178,2.877849963562522e-36,2.3854178586862683e-34,33.62243553367789
ENSG00000167900,2.013557333793183,8.986809109285361e-36,7.287129995137912e-34,33.137443483025294
ENSG00000101003,1.342190602916661,2.461133030004014e-35,1.9531970642372284e-33,32.70925393715595
ENSG00000124635,1.406691205138738,9.89754739743187e-35,7.691219123421015e-33,32.11400481538577
ENSG00000149554,1.2706966568733948,3.6469133359742703e-34,2.7761197435069445e-32,31.556561805211874
ENSG00000051341,1.4507289367488054,3.925044283108236e-34,2.9280830351987444e-32,31.533416611624133
ENSG00000166851,1.0702164255839903,1.0877279370145257e-33,7.955343539341531e-32,31.099341061269584
ENSG00000171320,1.6518607007347934,1.2748533858215409e-33,9.144621402142977e-32,31.038834270107056
ENSG00000283064,2.154942427232468,1.4084710284722793e-33,9.912447049436983e-32,31.00381911959351
ENSG00000156970,1.5879798394600315,1.4708031306905311e-33,1.015943643976978e-31,30.993130382395254
ENSG00000280407,1.7846881886393373,1.6637543850800492e-33,1.1283279738815607e-31,30.94756464455155
ENSG00000126787,1.928512099149418,1.9762693299667585e-33,1.3163365358528588e-31,30.880633064385346
ENSG00000137807,1.249013198220414,6.289810873714285e-33,4.115963957711277e-31,30.385528436882307
ENSG00000029153,1.4590572936798303,7.046998223943727e-33,4.531948857812087e-31,30.343714999712287
ENSG00000100097,1.041847034878595,8.850345835631613e-33,5.5952186384586295e-31,30.252182938336546
